n,m,seed,sample,input_value_lsb,flipped_bit_1_based,distance
8,6,501,0,137,7,0.9166666666666666
8,6,501,1,127,6,0.5
8,6,501,2,70,3,0.9166666666666666
8,6,501,3,16,1,0.5833333333333334
8,6,501,4,72,2,0.8333333333333334
8,6,501,5,69,3,0.9166666666666666
8,6,501,6,133,8,0.9166666666666666
8,6,501,7,149,7,0.8333333333333334
8,6,501,8,255,5,0.6666666666666666
8,6,501,9,183,6,1.0
8,6,501,10,158,1,0.9166666666666666
8,6,501,11,227,1,0.8333333333333334
8,6,501,12,52,5,0.6666666666666666
8,6,501,13,21,1,0.8333333333333334
8,6,501,14,249,4,0.6666666666666666
8,6,501,15,105,7,0.8333333333333334
8,6,501,16,134,7,0.8333333333333334
8,6,501,17,60,8,0.9166666666666666
8,6,501,18,216,2,0.9166666666666666
8,6,501,19,23,4,0.8333333333333334
8,6,501,20,136,8,0.9166666666666666
8,6,501,21,211,8,0.9166666666666666
8,6,501,22,200,5,0.8333333333333334
8,6,501,23,8,5,0.75
8,6,501,24,178,4,0.75
8,6,501,25,180,7,1.0
8,6,501,26,147,4,0.8333333333333334
8,6,501,27,119,5,0.9166666666666666
8,6,501,28,88,7,0.9166666666666666
8,6,501,29,181,4,0.75
8,6,501,30,196,5,0.9166666666666666
8,6,501,31,152,2,0.6666666666666666
8,6,502,0,124,6,0.75
8,6,502,1,81,7,0.9166666666666666
8,6,502,2,217,1,1.0
8,6,502,3,235,6,1.0
8,6,502,4,246,7,0.75
8,6,502,5,84,4,1.0
8,6,502,6,221,3,0.8333333333333334
8,6,502,7,208,6,0.9166666666666666
8,6,502,8,129,4,0.6666666666666666
8,6,502,9,238,8,0.8333333333333334
8,6,502,10,142,2,0.75
8,6,502,11,44,6,0.9166666666666666
8,6,502,12,243,7,1.0
8,6,502,13,74,5,0.9166666666666666
8,6,502,14,158,6,0.75
8,6,502,15,237,6,0.8333333333333334
8,6,502,16,22,7,0.6666666666666666
8,6,502,17,227,4,0.8333333333333334
8,6,502,18,5,8,0.8333333333333334
8,6,502,19,158,3,0.75
8,6,502,20,235,2,0.8333333333333334
8,6,502,21,5,1,0.9166666666666666
8,6,502,22,32,5,0.8333333333333334
8,6,502,23,202,1,0.5833333333333334
8,6,502,24,69,7,0.9166666666666666
8,6,502,25,77,8,0.8333333333333334
8,6,502,26,168,1,0.5
8,6,502,27,209,7,0.75
8,6,502,28,194,4,1.0
8,6,502,29,131,8,0.8333333333333334
8,6,502,30,42,6,0.9166666666666666
8,6,502,31,123,3,0.75
8,6,503,0,100,3,0.9166666666666666
8,6,503,1,185,7,1.0
8,6,503,2,4,5,0.9166666666666666
8,6,503,3,34,7,0.9166666666666666
8,6,503,4,10,6,0.9166666666666666
8,6,503,5,174,5,0.75
8,6,503,6,169,2,0.8333333333333334
8,6,503,7,153,2,1.0
8,6,503,8,37,1,0.6666666666666666
8,6,503,9,106,4,0.6666666666666666
8,6,503,10,127,5,0.5833333333333334
8,6,503,11,3,1,0.8333333333333334
8,6,503,12,175,6,0.75
8,6,503,13,6,6,0.8333333333333334
8,6,503,14,33,4,0.6666666666666666
8,6,503,15,170,1,0.6666666666666666
8,6,503,16,72,7,0.9166666666666666
8,6,503,17,160,2,1.0
8,6,503,18,214,8,1.0
8,6,503,19,207,3,0.9166666666666666
8,6,503,20,62,6,1.0
8,6,503,21,97,8,1.0
8,6,503,22,100,4,0.9166666666666666
8,6,503,23,113,1,0.6666666666666666
8,6,503,24,213,1,1.0
8,6,503,25,64,3,0.75
8,6,503,26,121,7,0.9166666666666666
8,6,503,27,34,6,1.0
8,6,503,28,23,5,0.9166666666666666
8,6,503,29,96,7,0.9166666666666666
8,6,503,30,214,2,0.8333333333333334
8,6,503,31,176,4,0.8333333333333334
12,6,501,0,2196,7,0.9166666666666666
12,6,501,1,2043,6,0.75
12,6,501,2,1122,9,0.8333333333333334
12,6,501,3,1198,11,0.9166666666666666
12,6,501,4,268,10,1.0
12,6,501,5,308,3,0.6666666666666666
12,6,501,6,659,3,1.0
12,6,501,7,1057,5,0.6666666666666666
12,6,501,8,3826,5,0.9166666666666666
12,6,501,9,3416,8,0.75
12,6,501,10,2434,6,0.9166666666666666
12,6,501,11,2887,9,0.8333333333333334
12,6,501,12,2537,1,0.6666666666666666
12,6,501,13,3639,1,0.9166666666666666
12,6,501,14,832,5,0.8333333333333334
12,6,501,15,338,1,0.5833333333333334
12,6,501,16,3991,4,0.8333333333333334
12,6,501,17,1684,7,0.25
12,6,501,18,2153,7,0.9166666666666666
12,6,501,19,974,8,1.0
12,6,501,20,3459,2,0.6666666666666666
12,6,501,21,383,4,0.9166666666666666
12,6,501,22,2186,9,1.0
12,6,501,23,3709,7,0.6666666666666666
12,6,501,24,3924,11,0.75
12,6,501,25,3209,10,0.75
12,6,501,26,2243,1,0.9166666666666666
12,6,501,27,2174,6,0.9166666666666666
12,6,501,28,1936,6,0.75
12,6,501,29,3175,5,0.9166666666666666
12,6,501,30,2027,4,0.9166666666666666
12,6,501,31,2498,11,0.8333333333333334
12,6,502,0,1985,6,0.9166666666666666
12,6,502,1,1311,7,0.8333333333333334
12,6,502,2,3476,1,0.9166666666666666
12,6,502,3,3770,10,1.0
12,6,502,4,2566,8,0.9166666666666666
12,6,502,5,3277,3,0.9166666666666666
12,6,502,6,1655,7,0.8333333333333334
12,6,502,7,1432,7,1.0
12,6,502,8,2925,5,1.0
12,6,502,9,1990,8,0.8333333333333334
12,6,502,10,3831,5,0.8333333333333334
12,6,502,11,930,12,0.6666666666666666
12,6,502,12,707,6,0.8333333333333334
12,6,502,13,3903,9,0.6666666666666666
12,6,502,14,3120,3,1.0
12,6,502,15,2148,12,0.6666666666666666
12,6,502,16,2541,10,0.75
12,6,502,17,2969,8,0.8333333333333334
12,6,502,18,2949,11,0.75
12,6,502,19,352,11,0.75
12,6,502,20,3217,8,0.6666666666666666
12,6,502,21,1725,1,0.8333333333333334
12,6,502,22,3607,5,0.6666666666666666
12,6,502,23,1264,8,0.8333333333333334
12,6,502,24,973,12,0.6666666666666666
12,6,502,25,91,11,0.6666666666666666
12,6,502,26,489,2,0.6666666666666666
12,6,502,27,2236,7,0.75
12,6,502,28,363,12,0.6666666666666666
12,6,502,29,1110,7,0.8333333333333334
12,6,502,30,1247,8,0.6666666666666666
12,6,502,31,2695,11,0.8333333333333334
12,6,503,0,1603,3,0.9166666666666666
12,6,503,1,2963,7,1.0
12,6,503,2,64,5,0.75
12,6,503,3,548,7,0.6666666666666666
12,6,503,4,162,12,0.75
12,6,503,5,2818,6,0.8333333333333334
12,6,503,6,2433,6,0.9166666666666666
12,6,503,7,706,5,0.6666666666666666
12,6,503,8,560,2,0.9166666666666666
12,6,503,9,24,4,0.6666666666666666
12,6,503,10,1783,4,0.9166666666666666
12,6,503,11,2499,12,0.75
12,6,503,12,62,1,1.0
12,6,503,13,2804,12,0.75
12,6,503,14,2713,11,0.9166666666666666
12,6,503,15,100,9,0.8333333333333334
12,6,503,16,2611,9,1.0
12,6,503,17,533,10,0.9166666666666666
12,6,503,18,2037,6,0.9166666666666666
12,6,503,19,224,3,0.6666666666666666
12,6,503,20,3277,6,0.9166666666666666
12,6,503,21,814,7,0.8333333333333334
12,6,503,22,3657,9,0.6666666666666666
12,6,503,23,3322,3,0.3333333333333333
12,6,503,24,1006,12,0.75
12,6,503,25,2736,4,0.9166666666666666
12,6,503,26,3697,4,0.8333333333333334
12,6,503,27,1763,4,0.6666666666666666
12,6,503,28,470,7,0.9166666666666666
12,6,503,29,190,9,0.8333333333333334
12,6,503,30,1039,3,0.75
12,6,503,31,1938,9,0.9166666666666666
16,6,501,0,35139,14,0.9166666666666666
16,6,501,1,32703,11,1.0
16,6,501,2,17954,5,0.6666666666666666
16,6,501,3,4290,2,0.6666666666666666
16,6,501,4,18521,3,1.0
16,6,501,5,17687,5,0.6666666666666666
16,6,501,6,34198,15,1.0
16,6,501,7,38398,14,0.6666666666666666
16,6,501,8,65472,10,1.0
16,6,501,9,46863,12,0.8333333333333334
16,6,501,10,40603,2,1.0
16,6,501,11,58225,1,0.9166666666666666
