n,m,instances,state_space_cardinality,observed_pairs_total,independent_random_expectation_total,layered_random_expectation_total,ratio_to_independent_random,ratio_to_layered_random,distinct_outputs_min,distinct_outputs_max
4,5,3,3600,0,0.1,0.17330370678998058,0.0,0.0,16,16
6,5,3,3600,1,1.68,3.1992667983373355,0.5952380952380952,0.3125716181344118,63,64
8,5,3,3600,46,27.2,53.53286240270699,1.6911764705882353,0.8592852676914569,232,248
10,5,3,3600,801,436.48,868.4586079205695,1.8351356304985336,0.9223237500263923,796,819
12,5,3,3600,13273,6988.8,13953.281028744495,1.8991815476190477,0.9512458018051038,1838,1950
14,5,3,3600,214552,111841.28,223525.09523407492,1.9183614493682475,0.9598564303275284,2575,2727
4,6,3,129600,0,0.002777777777777778,0.004814791952512426,0.0,0.0,16,16
6,6,3,129600,0,0.04666666666666667,0.08888832304809,0.0,0.0,64,64
8,6,3,129600,2,0.7555555555555555,1.4873967536110542,2.6470588235294117,1.3446311450824833,255,256
10,6,3,129600,27,12.124444444444444,24.13018921024346,2.2269061583577714,1.118930306130309,1014,1016
12,6,3,129600,402,194.13333333333333,387.69481483686974,2.070741758241758,1.0368980564497605,3961,3974
14,6,3,129600,6260,3106.702222222222,6210.7018611773465,2.0149983977293537,1.0079376115493182,14445,14589
4,8,3,406425600,0,8.857709750566894e-07,1.5353363544402167e-06,0.0,0.0,16,16
6,8,3,406425600,0,1.4880952380952381e-05,2.8344671144277447e-05,0.0,0.0,64,64
8,8,3,406425600,0,0.0002409297052154195,0.000474300830360373,0.0,0.0,256,256
10,8,3,406425600,0,0.0038662131519274375,0.007694633390498109,0.0,0.0,1024,1024
12,8,3,406425600,0,0.06190476190476191,0.12362811761254958,0.0,0.0,4096,4096
14,8,3,406425600,2,0.9906575963718821,1.980468627039932,2.018861014466215,1.0098619956374972,16382,16384
