n,m,seed,samples,mean_normalized_endpoint_distance,stdev_normalized_endpoint_distance,min_normalized_endpoint_distance,max_normalized_endpoint_distance
8,6,501,32,0.828125,0.117735985,0.5,1.0
8,6,502,32,0.830729167,0.12055351,0.5,1.0
8,6,503,32,0.859375,0.124019593,0.583333333,1.0
12,6,501,32,0.817708333,0.153712027,0.25,1.0
12,6,502,32,0.802083333,0.113632418,0.666666667,1.0
12,6,503,32,0.815104167,0.137774938,0.333333333,1.0
16,6,501,32,0.833333333,0.142826138,0.5,1.0
16,6,502,32,0.796875,0.129999833,0.583333333,1.0
16,6,503,32,0.825520833,0.089266336,0.583333333,0.916666667
20,6,501,32,0.822916667,0.109746393,0.583333333,1.0
20,6,502,32,0.856770833,0.100420935,0.666666667,1.0
20,6,503,32,0.8359375,0.1292412,0.5,1.0
8,8,501,32,0.892578125,0.066721449,0.6875,1.0
8,8,502,32,0.8671875,0.086644816,0.6875,1.0
8,8,503,32,0.841796875,0.104797488,0.625,1.0
12,8,501,32,0.875,0.0841432,0.625,1.0
12,8,502,32,0.859375,0.124019593,0.625,1.0
12,8,503,32,0.873046875,0.072423813,0.6875,1.0
16,8,501,32,0.849609375,0.098647315,0.625,1.0
16,8,502,32,0.865234375,0.076720779,0.6875,1.0
16,8,503,32,0.884765625,0.07511283,0.6875,1.0
20,8,501,32,0.8828125,0.079288215,0.75,1.0
20,8,502,32,0.873046875,0.080410894,0.75,1.0
20,8,503,32,0.873046875,0.080410894,0.6875,1.0
8,10,501,32,0.8578125,0.097715607,0.7,1.0
8,10,502,32,0.9046875,0.057770255,0.75,1.0
8,10,503,32,0.8890625,0.071517453,0.75,1.0
12,10,501,32,0.890625,0.068962739,0.75,1.0
12,10,502,32,0.9078125,0.058775759,0.75,1.0
12,10,503,32,0.8828125,0.071380774,0.75,1.0
16,10,501,32,0.903125,0.071739002,0.75,1.0
16,10,502,32,0.8890625,0.07678539,0.7,1.0
16,10,503,32,0.884375,0.079488108,0.6,1.0
20,10,501,32,0.9140625,0.054821265,0.8,1.0
20,10,502,32,0.8921875,0.082072162,0.6,1.0
20,10,503,32,0.9078125,0.069719723,0.75,1.0
