n,m,seed,prefixes_checked,branch_constant_prediction,minimum_distance,maximum_distance,identity_verified
8,6,501,32,0.9166666666666666,0.9166666666666666,0.9166666666666666,True
8,6,502,32,0.8333333333333334,0.8333333333333334,0.8333333333333334,True
8,6,503,32,1.0,1.0,1.0,True
12,6,501,32,1.0,1.0,1.0,True
12,6,502,32,0.6666666666666666,0.6666666666666666,0.6666666666666666,True
12,6,503,32,0.75,0.75,0.75,True
16,6,501,32,0.9166666666666666,0.9166666666666666,0.9166666666666666,True
16,6,502,32,0.75,0.75,0.75,True
16,6,503,32,1.0,1.0,1.0,True
20,6,501,32,0.8333333333333334,0.8333333333333334,0.8333333333333334,True
20,6,502,32,0.75,0.75,0.75,True
20,6,503,32,0.8333333333333334,0.8333333333333334,0.8333333333333334,True
8,8,501,32,0.875,0.875,0.875,True
8,8,502,32,0.8125,0.8125,0.8125,True
8,8,503,32,0.9375,0.9375,0.9375,True
12,8,501,32,0.875,0.875,0.875,True
12,8,502,32,0.625,0.625,0.625,True
12,8,503,32,0.875,0.875,0.875,True
16,8,501,32,0.875,0.875,0.875,True
16,8,502,32,0.75,0.75,0.75,True
16,8,503,32,0.9375,0.9375,0.9375,True
20,8,501,32,1.0,1.0,1.0,True
20,8,502,32,0.9375,0.9375,0.9375,True
20,8,503,32,0.8125,0.8125,0.8125,True
8,10,501,32,0.7,0.7,0.7,True
8,10,502,32,0.9,0.9,0.9,True
8,10,503,32,0.8,0.8,0.8,True
12,10,501,32,0.95,0.95,0.95,True
12,10,502,32,0.95,0.95,0.95,True
12,10,503,32,0.85,0.85,0.85,True
16,10,501,32,0.85,0.85,0.85,True
16,10,502,32,0.9,0.9,0.9,True
16,10,503,32,0.9,0.9,0.9,True
20,10,501,32,0.9,0.9,0.9,True
20,10,502,32,1.0,1.0,1.0,True
20,10,503,32,0.95,0.95,0.95,True
