n,m,seed,round,inputs,distinct_states,collision_pairs,inherited_pairs,new_pairs,max_preimages,transition_evaluations,new_pairs_weighted_to_terminal
4,5,101,1,2,2,0,0,0,1,2,0
4,5,101,2,4,4,0,0,0,1,4,0
4,5,101,3,8,8,0,0,0,1,8,0
4,5,101,4,16,16,0,0,0,1,16,0
4,5,202,1,2,2,0,0,0,1,2,0
4,5,202,2,4,4,0,0,0,1,4,0
4,5,202,3,8,8,0,0,0,1,8,0
4,5,202,4,16,16,0,0,0,1,16,0
4,5,303,1,2,2,0,0,0,1,2,0
4,5,303,2,4,4,0,0,0,1,4,0
4,5,303,3,8,8,0,0,0,1,8,0
4,5,303,4,16,16,0,0,0,1,16,0
6,5,101,1,2,2,0,0,0,1,2,0
6,5,101,2,4,4,0,0,0,1,4,0
6,5,101,3,8,8,0,0,0,1,8,0
6,5,101,4,16,16,0,0,0,1,16,0
6,5,101,5,32,32,0,0,0,1,32,0
6,5,101,6,64,63,1,0,1,2,64,1
6,5,202,1,2,2,0,0,0,1,2,0
6,5,202,2,4,4,0,0,0,1,4,0
6,5,202,3,8,8,0,0,0,1,8,0
6,5,202,4,16,16,0,0,0,1,16,0
6,5,202,5,32,32,0,0,0,1,32,0
6,5,202,6,64,64,0,0,0,1,64,0
6,5,303,1,2,2,0,0,0,1,2,0
6,5,303,2,4,4,0,0,0,1,4,0
6,5,303,3,8,8,0,0,0,1,8,0
6,5,303,4,16,16,0,0,0,1,16,0
6,5,303,5,32,32,0,0,0,1,32,0
6,5,303,6,64,64,0,0,0,1,64,0
8,5,101,1,2,2,0,0,0,1,2,0
8,5,101,2,4,4,0,0,0,1,4,0
8,5,101,3,8,8,0,0,0,1,8,0
8,5,101,4,16,16,0,0,0,1,16,0
8,5,101,5,32,32,0,0,0,1,32,0
8,5,101,6,64,64,0,0,0,1,64,0
8,5,101,7,128,127,1,0,1,2,128,2
8,5,101,8,256,248,9,2,7,3,254,7
8,5,202,1,2,2,0,0,0,1,2,0
8,5,202,2,4,4,0,0,0,1,4,0
8,5,202,3,8,8,0,0,0,1,8,0
8,5,202,4,16,16,0,0,0,1,16,0
8,5,202,5,32,32,0,0,0,1,32,0
8,5,202,6,64,62,2,0,2,2,64,8
8,5,202,7,128,124,4,4,0,2,124,0
8,5,202,8,256,244,12,8,4,2,248,4
8,5,303,1,2,2,0,0,0,1,2,0
8,5,303,2,4,4,0,0,0,1,4,0
8,5,303,3,8,8,0,0,0,1,8,0
8,5,303,4,16,16,0,0,0,1,16,0
8,5,303,5,32,31,1,0,1,2,32,8
8,5,303,6,64,61,3,2,1,2,62,4
8,5,303,7,128,122,6,6,0,2,122,0
8,5,303,8,256,232,25,12,13,3,244,13
10,5,101,1,2,2,0,0,0,1,2,0
10,5,101,2,4,4,0,0,0,1,4,0
10,5,101,3,8,8,0,0,0,1,8,0
10,5,101,4,16,16,0,0,0,1,16,0
10,5,101,5,32,32,0,0,0,1,32,0
10,5,101,6,64,64,0,0,0,1,64,0
10,5,101,7,128,125,3,0,3,2,128,24
10,5,101,8,256,243,14,6,8,3,250,32
10,5,101,9,512,463,52,28,24,3,486,48
10,5,101,10,1024,819,248,104,144,4,926,144
10,5,202,1,2,2,0,0,0,1,2,0
10,5,202,2,4,4,0,0,0,1,4,0
10,5,202,3,8,8,0,0,0,1,8,0
10,5,202,4,16,16,0,0,0,1,16,0
10,5,202,5,32,32,0,0,0,1,32,0
10,5,202,6,64,64,0,0,0,1,64,0
10,5,202,7,128,126,2,0,2,2,128,16
10,5,202,8,256,240,16,4,12,2,252,48
10,5,202,9,512,453,62,32,30,3,480,60
10,5,202,10,1024,806,274,124,150,5,906,150
10,5,303,1,2,2,0,0,0,1,2,0
10,5,303,2,4,4,0,0,0,1,4,0
10,5,303,3,8,8,0,0,0,1,8,0
10,5,303,4,16,16,0,0,0,1,16,0
10,5,303,5,32,32,0,0,0,1,32,0
10,5,303,6,64,63,1,0,1,2,64,16
10,5,303,7,128,125,3,2,1,2,126,8
10,5,303,8,256,243,14,6,8,3,250,32
10,5,303,9,512,450,68,28,40,3,486,80
10,5,303,10,1024,796,279,136,143,5,900,143
12,5,101,1,2,2,0,0,0,1,2,0
12,5,101,2,4,4,0,0,0,1,4,0
12,5,101,3,8,8,0,0,0,1,8,0
12,5,101,4,16,16,0,0,0,1,16,0
12,5,101,5,32,32,0,0,0,1,32,0
12,5,101,6,64,64,0,0,0,1,64,0
12,5,101,7,128,126,2,0,2,2,128,64
12,5,101,8,256,245,11,4,7,2,252,112
12,5,101,9,512,453,67,22,45,3,490,360
12,5,101,10,1024,805,272,134,138,5,906,552
12,5,101,11,2048,1343,1045,544,501,8,1610,1002
12,5,101,12,4096,1950,4239,2090,2149,11,2686,2149
12,5,202,1,2,2,0,0,0,1,2,0
12,5,202,2,4,4,0,0,0,1,4,0
12,5,202,3,8,8,0,0,0,1,8,0
12,5,202,4,16,16,0,0,0,1,16,0
12,5,202,5,32,32,0,0,0,1,32,0
12,5,202,6,64,64,0,0,0,1,64,0
12,5,202,7,128,128,0,0,0,1,128,0
12,5,202,8,256,248,8,0,8,2,256,128
12,5,202,9,512,461,64,16,48,5,496,384
12,5,202,10,1024,816,270,128,142,5,922,568
12,5,202,11,2048,1339,1022,540,482,7,1632,964
12,5,202,12,4096,1905,4464,2044,2420,14,2678,2420
12,5,303,1,2,2,0,0,0,1,2,0
12,5,303,2,4,4,0,0,0,1,4,0
12,5,303,3,8,8,0,0,0,1,8,0
12,5,303,4,16,16,0,0,0,1,16,0
12,5,303,5,32,32,0,0,0,1,32,0
12,5,303,6,64,62,2,0,2,2,64,128
12,5,303,7,128,120,8,4,4,2,124,128
12,5,303,8,256,231,25,16,9,2,240,144
12,5,303,9,512,433,89,50,39,4,462,312
12,5,303,10,1024,762,331,178,153,5,866,612
12,5,303,11,2048,1262,1217,662,555,9,1524,1110
12,5,303,12,4096,1838,4570,2434,2136,11,2524,2136
14,5,101,1,2,2,0,0,0,1,2,0
14,5,101,2,4,4,0,0,0,1,4,0
14,5,101,3,8,8,0,0,0,1,8,0
14,5,101,4,16,16,0,0,0,1,16,0
14,5,101,5,32,32,0,0,0,1,32,0
14,5,101,6,64,64,0,0,0,1,64,0
14,5,101,7,128,126,2,0,2,2,128,256
14,5,101,8,256,247,9,4,5,2,252,320
14,5,101,9,512,463,51,18,33,3,494,1056
14,5,101,10,1024,823,235,102,133,4,926,2128
14,5,101,11,2048,1340,1022,470,552,7,1646,4416
14,5,101,12,4096,1889,4353,2044,2309,11,2680,9236
14,5,101,13,8192,2339,17729,8706,9023,22,3778,18046
14,5,101,14,16384,2575,75769,35458,40311,38,4678,40311
14,5,202,1,2,2,0,0,0,1,2,0
14,5,202,2,4,4,0,0,0,1,4,0
14,5,202,3,8,8,0,0,0,1,8,0
14,5,202,4,16,16,0,0,0,1,16,0
14,5,202,5,32,32,0,0,0,1,32,0
14,5,202,6,64,63,1,0,1,2,64,256
14,5,202,7,128,121,7,2,5,2,126,640
14,5,202,8,256,235,21,14,7,2,242,448
14,5,202,9,512,441,76,42,34,3,470,1088
14,5,202,10,1024,805,269,152,117,6,882,1872
14,5,202,11,2048,1333,1035,538,497,7,1610,3976
14,5,202,12,4096,1967,4007,2070,1937,10,2666,7748
14,5,202,13,8192,2409,17364,8014,9350,17,3934,18700
14,5,202,14,16384,2722,71669,34728,36941,35,4818,36941
14,5,303,1,2,2,0,0,0,1,2,0
14,5,303,2,4,4,0,0,0,1,4,0
14,5,303,3,8,8,0,0,0,1,8,0
14,5,303,4,16,16,0,0,0,1,16,0
14,5,303,5,32,32,0,0,0,1,32,0
14,5,303,6,64,64,0,0,0,1,64,0
14,5,303,7,128,127,1,0,1,2,128,128
14,5,303,8,256,243,13,2,11,2,254,704
14,5,303,9,512,458,57,26,31,3,486,992
14,5,303,10,1024,798,279,114,165,5,916,2640
14,5,303,11,2048,1289,1121,558,563,7,1596,4504
14,5,303,12,4096,1919,4005,2242,1763,10,2578,7052
14,5,303,13,8192,2381,17362,8010,9352,16,3838,18704
14,5,303,14,16384,2727,67114,34724,32390,29,4762,32390
4,6,101,1,2,2,0,0,0,1,2,0
4,6,101,2,4,4,0,0,0,1,4,0
4,6,101,3,8,8,0,0,0,1,8,0
4,6,101,4,16,16,0,0,0,1,16,0
4,6,202,1,2,2,0,0,0,1,2,0
4,6,202,2,4,4,0,0,0,1,4,0
4,6,202,3,8,8,0,0,0,1,8,0
4,6,202,4,16,16,0,0,0,1,16,0
4,6,303,1,2,2,0,0,0,1,2,0
4,6,303,2,4,4,0,0,0,1,4,0
4,6,303,3,8,8,0,0,0,1,8,0
4,6,303,4,16,16,0,0,0,1,16,0
6,6,101,1,2,2,0,0,0,1,2,0
6,6,101,2,4,4,0,0,0,1,4,0
