n,m,seed,metric,samples,pearson_r,defined,permutations,unadjusted_randomisation_p,global_maxT_p
8,6,601,u_fixed_points,64,-0.061990237063162666,True,999,0.648,1.0
8,6,601,v_fixed_points,64,-0.12197329838534553,True,999,0.368,1.0
8,6,601,uv_fixed_points,64,0.14691018095426306,True,999,0.262,1.0
8,6,601,u_order,64,-0.15519342315932258,True,999,0.241,1.0
8,6,601,v_order,64,-0.022896479495241415,True,999,0.862,1.0
8,6,601,uv_order,64,0.058736964769429204,True,999,0.636,1.0
8,6,602,u_fixed_points,64,0.06145168961203497,True,999,0.641,1.0
8,6,602,v_fixed_points,64,0.06914729032970193,True,999,0.615,1.0
8,6,602,uv_fixed_points,64,0.010958177564073211,True,999,0.932,1.0
8,6,602,u_order,64,-0.17186688653931115,True,999,0.17,1.0
8,6,602,v_order,64,-0.26855545989363394,True,999,0.042,0.992
8,6,602,uv_order,64,-0.047841917014219235,True,999,0.729,1.0
8,6,603,u_fixed_points,64,-0.0980594015558207,True,999,0.439,1.0
8,6,603,v_fixed_points,64,-0.05472785953649696,True,999,0.699,1.0
8,6,603,uv_fixed_points,64,0.057854471397431106,True,999,0.682,1.0
8,6,603,u_order,64,0.1987657082376985,True,999,0.124,1.0
8,6,603,v_order,64,0.06629914585873262,True,999,0.61,1.0
8,6,603,uv_order,64,-0.11852733902047159,True,999,0.377,1.0
8,8,601,u_fixed_points,64,0.14622900737902647,True,999,0.263,1.0
8,8,601,v_fixed_points,64,0.2745559817339775,True,999,0.025,0.986
8,8,601,uv_fixed_points,64,0.018926115871637294,True,999,0.892,1.0
8,8,601,u_order,64,0.10671934066334825,True,999,0.416,1.0
8,8,601,v_order,64,-0.05332758541098528,True,999,0.677,1.0
8,8,601,uv_order,64,-0.15687646413302483,True,999,0.219,1.0
8,8,602,u_fixed_points,64,0.16718966082097345,True,999,0.185,1.0
8,8,602,v_fixed_points,64,0.08446633140802187,True,999,0.516,1.0
8,8,602,uv_fixed_points,64,-0.10853072724193337,True,999,0.385,1.0
8,8,602,u_order,64,-0.14803925598871615,True,999,0.269,1.0
8,8,602,v_order,64,0.08886031372184015,True,999,0.487,1.0
8,8,602,uv_order,64,-0.016854226003849764,True,999,0.894,1.0
8,8,603,u_fixed_points,64,0.14040906268666373,True,999,0.313,1.0
8,8,603,v_fixed_points,64,0.2531230053501334,True,999,0.06,1.0
8,8,603,uv_fixed_points,64,0.020618584591192136,True,999,0.89,1.0
8,8,603,u_order,64,-0.05541689624958608,True,999,0.659,1.0
8,8,603,v_order,64,-0.02814326268108599,True,999,0.832,1.0
8,8,603,uv_order,64,-0.17788952902505134,True,999,0.17,1.0
8,10,601,u_fixed_points,64,0.041725881920809484,True,999,0.772,1.0
8,10,601,v_fixed_points,64,-0.0039448588848322195,True,999,1.0,1.0
8,10,601,uv_fixed_points,64,-0.010120203641276113,True,999,0.971,1.0
8,10,601,u_order,64,-0.006306026693758047,True,999,0.973,1.0
8,10,601,v_order,64,-0.0008865293372236474,True,999,1.0,1.0
8,10,601,uv_order,64,-0.020218249856340364,True,999,0.887,1.0
8,10,602,u_fixed_points,64,-0.009051995236484697,True,999,0.974,1.0
8,10,602,v_fixed_points,64,-0.30847665622032516,True,999,0.016,0.86
8,10,602,uv_fixed_points,64,-0.1276947272187591,True,999,0.313,1.0
8,10,602,u_order,64,-0.329552667753009,True,999,0.008,0.713
8,10,602,v_order,64,-0.10611678547553215,True,999,0.409,1.0
8,10,602,uv_order,64,-0.14605684849876333,True,999,0.235,1.0
8,10,603,u_fixed_points,64,0.23051861493386244,True,999,0.067,1.0
8,10,603,v_fixed_points,64,0.07131678317864559,True,999,0.582,1.0
8,10,603,uv_fixed_points,64,-0.13868161541031343,True,999,0.272,1.0
8,10,603,u_order,64,0.02602454520290064,True,999,0.844,1.0
8,10,603,v_order,64,-0.007492053995494087,True,999,0.954,1.0
8,10,603,uv_order,64,0.1312790561055632,True,999,0.289,1.0
12,6,601,u_fixed_points,64,0.07691810604619663,True,999,0.546,1.0
12,6,601,v_fixed_points,64,-0.22612313066871742,True,999,0.057,1.0
12,6,601,uv_fixed_points,64,-0.11828039559992969,True,999,0.347,1.0
12,6,601,u_order,64,-0.08359503952740083,True,999,0.531,1.0
12,6,601,v_order,64,0.2628565960030006,True,999,0.031,1.0
12,6,601,uv_order,64,-0.025787750327094596,True,999,0.858,1.0
12,6,602,u_fixed_points,64,-0.18975670159765157,True,999,0.166,1.0
12,6,602,v_fixed_points,64,-0.14854261675323832,True,999,0.258,1.0
12,6,602,uv_fixed_points,64,-0.19422619160805937,True,999,0.133,1.0
12,6,602,u_order,64,0.30127901481337893,True,999,0.021,0.906
12,6,602,v_order,64,0.13446442564845415,True,999,0.301,1.0
12,6,602,uv_order,64,0.034606757878089374,True,999,0.803,1.0
12,6,603,u_fixed_points,64,0.03768790979077128,True,999,0.758,1.0
12,6,603,v_fixed_points,64,0.00880064044590872,True,999,0.963,1.0
12,6,603,uv_fixed_points,64,-0.0498298623648607,True,999,0.721,1.0
12,6,603,u_order,64,0.08722377314397112,True,999,0.479,1.0
12,6,603,v_order,64,-0.09606169099694467,True,999,0.456,1.0
12,6,603,uv_order,64,0.04731501848818838,True,999,0.699,1.0
12,8,601,u_fixed_points,64,0.06797699798165889,True,999,0.576,1.0
12,8,601,v_fixed_points,64,0.03652485636967809,True,999,0.812,1.0
12,8,601,uv_fixed_points,64,0.10844202991947977,True,999,0.409,1.0
12,8,601,u_order,64,-0.25669697022090465,True,999,0.045,1.0
12,8,601,v_order,64,-0.11502798238023809,True,999,0.366,1.0
12,8,601,uv_order,64,-0.15904106370675788,True,999,0.217,1.0
12,8,602,u_fixed_points,64,0.18289653405541423,True,999,0.165,1.0
12,8,602,v_fixed_points,64,0.15707761647324492,True,999,0.24,1.0
12,8,602,uv_fixed_points,64,0.15976289844938155,True,999,0.216,1.0
12,8,602,u_order,64,0.12886347025949502,True,999,0.319,1.0
12,8,602,v_order,64,-0.0759575196735844,True,999,0.589,1.0
12,8,602,uv_order,64,-0.04133980630675994,True,999,0.725,1.0
12,8,603,u_fixed_points,64,0.11099565228400268,True,999,0.397,1.0
12,8,603,v_fixed_points,64,0.14668765978926213,True,999,0.26,1.0
12,8,603,uv_fixed_points,64,0.031229064569734684,True,999,0.808,1.0
12,8,603,u_order,64,-0.09598432794103869,True,999,0.455,1.0
12,8,603,v_order,64,0.1072337791467257,True,999,0.396,1.0
12,8,603,uv_order,64,0.06025329379258814,True,999,0.643,1.0
12,10,601,u_fixed_points,64,0.03212532219533328,True,999,0.812,1.0
12,10,601,v_fixed_points,64,0.11908829620605944,True,999,0.348,1.0
12,10,601,uv_fixed_points,64,0.08698098514168537,True,999,0.523,1.0
12,10,601,u_order,64,-0.004411591293822213,True,999,0.981,1.0
12,10,601,v_order,64,-0.016177011854391386,True,999,0.922,1.0
12,10,601,uv_order,64,-0.0656694292998429,True,999,0.611,1.0
12,10,602,u_fixed_points,64,0.1303724155100095,True,999,0.283,1.0
12,10,602,v_fixed_points,64,0.20702822673777113,True,999,0.117,1.0
12,10,602,uv_fixed_points,64,-0.11933567525972909,True,999,0.338,1.0
12,10,602,u_order,64,-0.16755836964700538,True,999,0.198,1.0
12,10,602,v_order,64,-0.14446097016338857,True,999,0.262,1.0
12,10,602,uv_order,64,0.08508943856216117,True,999,0.546,1.0
12,10,603,u_fixed_points,64,-0.08742833903376761,True,999,0.515,1.0
12,10,603,v_fixed_points,64,-0.005517328866976989,True,999,0.976,1.0
12,10,603,uv_fixed_points,64,0.12386953254793347,True,999,0.316,1.0
12,10,603,u_order,64,0.1107119961993129,True,999,0.392,1.0
12,10,603,v_order,64,0.016223705586890663,True,999,0.887,1.0
12,10,603,uv_order,64,-0.11716767139851653,True,999,0.367,1.0
16,6,601,u_fixed_points,64,0.13978812365008658,True,999,0.278,1.0
16,6,601,v_fixed_points,64,0.03639017042824554,True,999,0.778,1.0
16,6,601,uv_fixed_points,64,0.01876485996070447,True,999,0.885,1.0
16,6,601,u_order,64,-0.19467324513486003,True,999,0.108,1.0
16,6,601,v_order,64,-0.2529501042788798,True,999,0.044,1.0
16,6,601,uv_order,64,-0.127004536956509,True,999,0.326,1.0
16,6,602,u_fixed_points,64,-0.008195296334975736,True,999,0.957,1.0
16,6,602,v_fixed_points,64,-0.13203410013179673,True,999,0.309,1.0
16,6,602,uv_fixed_points,64,0.014795976414707313,True,999,0.939,1.0
16,6,602,u_order,64,-0.11543872894831718,True,999,0.381,1.0
16,6,602,v_order,64,0.1893795303631884,True,999,0.147,1.0
16,6,602,uv_order,64,0.013896530763890707,True,999,0.93,1.0
16,6,603,u_fixed_points,64,0.1727523734349746,True,999,0.168,1.0
16,6,603,v_fixed_points,64,-0.03249249580304468,True,999,0.807,1.0
16,6,603,uv_fixed_points,64,0.16753150153104837,True,999,0.202,1.0
16,6,603,u_order,64,0.03551766536515219,True,999,0.784,1.0
16,6,603,v_order,64,-0.08324363494191267,True,999,0.534,1.0
16,6,603,uv_order,64,-0.07218343110199121,True,999,0.575,1.0
16,8,601,u_fixed_points,64,-0.12832918648827998,True,999,0.313,1.0
16,8,601,v_fixed_points,64,0.03733550865076739,True,999,0.768,1.0
16,8,601,uv_fixed_points,64,0.001516291947724903,True,999,1.0,1.0
16,8,601,u_order,64,-0.049356652027261964,True,999,0.684,1.0
16,8,601,v_order,64,0.006162999863551282,True,999,0.968,1.0
16,8,601,uv_order,64,0.1319981403236447,True,999,0.302,1.0
16,8,602,u_fixed_points,64,-0.10542015898283003,True,999,0.4,1.0
16,8,602,v_fixed_points,64,-0.022928891566393675,True,999,0.867,1.0
16,8,602,uv_fixed_points,64,-0.16991266064189917,True,999,0.181,1.0
16,8,602,u_order,64,0.26159505472451144,True,999,0.032,1.0
16,8,602,v_order,64,0.011225795869293275,True,999,0.934,1.0
16,8,602,uv_order,64,-0.12685926500191388,True,999,0.317,1.0
16,8,603,u_fixed_points,64,-0.18453642155459146,True,999,0.157,1.0
16,8,603,v_fixed_points,64,0.07003964099365259,True,999,0.581,1.0
16,8,603,uv_fixed_points,64,-0.04156808351366821,True,999,0.731,1.0
16,8,603,u_order,64,0.31486863480367006,True,999,0.011,0.821
16,8,603,v_order,64,-0.045737780970970136,True,999,0.719,1.0
16,8,603,uv_order,64,0.10525276993865448,True,999,0.391,1.0
16,10,601,u_fixed_points,64,-0.11289392385336425,True,999,0.403,1.0
16,10,601,v_fixed_points,64,-0.025620843827766557,True,999,0.842,1.0
16,10,601,uv_fixed_points,64,-0.08514634226151901,True,999,0.513,1.0
16,10,601,u_order,64,0.09368080347727106,True,999,0.473,1.0
16,10,601,v_order,64,0.031732552273071375,True,999,0.812,1.0
16,10,601,uv_order,64,0.06489904465556877,True,999,0.63,1.0
16,10,602,u_fixed_points,64,-0.058211978516502776,True,999,0.684,1.0
16,10,602,v_fixed_points,64,0.12816530853341856,True,999,0.315,1.0
16,10,602,uv_fixed_points,64,-0.16948201758022802,True,999,0.167,1.0
16,10,602,u_order,64,-0.11959006957341425,True,999,0.346,1.0
16,10,602,v_order,64,0.004834562144727331,True,999,0.973,1.0
16,10,602,uv_order,64,0.04159231991672307,True,999,0.719,1.0
16,10,603,u_fixed_points,64,0.0015472617049068894,True,999,1.0,1.0
16,10,603,v_fixed_points,64,-0.09151721485605498,True,999,0.494,1.0
16,10,603,uv_fixed_points,64,-0.06889759071110131,True,999,0.607,1.0
16,10,603,u_order,64,0.03568480504043566,True,999,0.767,1.0
16,10,603,v_order,64,-0.0199719220954334,True,999,0.888,1.0
16,10,603,uv_order,64,-0.059833925439870095,True,999,0.658,1.0
