n,m,seed,inputs,distinct_outputs,collision_excess,colliding_pairs,max_preimages,elapsed_seconds
4,5,101,16,16,0,0,1,0.000301364
4,5,202,16,16,0,0,1,0.000246975
4,5,303,16,16,0,0,1,0.000439197
6,5,101,64,63,1,1,2,0.002063494
6,5,202,64,64,0,0,1,0.001196965
6,5,303,64,64,0,0,1,0.001407145
8,5,101,256,248,8,9,3,0.006010596
8,5,202,256,244,12,12,2,0.006021852
8,5,303,256,232,24,25,3,0.006054601
10,5,101,1024,819,205,248,4,0.03066433
10,5,202,1024,806,218,274,5,0.031391884
10,5,303,1024,796,228,279,5,0.030091615
12,5,101,4096,1950,2146,4239,11,0.159036259
12,5,202,4096,1905,2191,4464,14,0.148539961
12,5,303,4096,1838,2258,4570,11,0.154184016
14,5,101,16384,2575,13809,75769,38,0.677158623
14,5,202,16384,2722,13662,71669,35,0.649644719
14,5,303,16384,2727,13657,67114,29,0.771685404
4,6,101,16,16,0,0,1,0.000262307
4,6,202,16,16,0,0,1,0.000218262
4,6,303,16,16,0,0,1,0.000202088
6,6,101,64,64,0,0,1,0.001308129
6,6,202,64,64,0,0,1,0.001207301
6,6,303,64,64,0,0,1,0.001219729
8,6,101,256,255,1,1,2,0.00635232
8,6,202,256,256,0,0,1,0.007231617
8,6,303,256,255,1,1,2,0.006264541
10,6,101,1024,1015,9,9,2,0.030829274
10,6,202,1024,1014,10,10,2,0.032218192
10,6,303,1024,1016,8,8,2,0.032359983
12,6,101,4096,3962,134,139,3,0.167774072
12,6,202,4096,3961,135,139,3,0.152650225
12,6,303,4096,3974,122,124,3,0.157095722
14,6,101,16384,14485,1899,2092,5,0.710672979
14,6,202,16384,14589,1795,1975,5,0.712303425
14,6,303,16384,14445,1939,2193,5,0.702117348
4,8,101,16,16,0,0,1,0.000236539
4,8,202,16,16,0,0,1,0.000221637
4,8,303,16,16,0,0,1,0.000231191
6,8,101,64,64,0,0,1,0.001407476
6,8,202,64,64,0,0,1,0.00136961
6,8,303,64,64,0,0,1,0.001287369
8,8,101,256,256,0,0,1,0.006823695
8,8,202,256,256,0,0,1,0.006829694
8,8,303,256,256,0,0,1,0.006683208
10,8,101,1024,1024,0,0,1,0.034889804
10,8,202,1024,1024,0,0,1,0.033728041
10,8,303,1024,1024,0,0,1,0.033610336
12,8,101,4096,4096,0,0,1,0.16023336
12,8,202,4096,4096,0,0,1,0.167722687
12,8,303,4096,4096,0,0,1,0.166705897
14,8,101,16384,16384,0,0,1,0.820730298
14,8,202,16384,16382,2,2,2,0.827388483
14,8,303,16384,16384,0,0,1,0.814625358
