m,trial,preimages_producing_branch,preimages_other_branch,other_branch_solvable
5,0,2,0,0
5,1,4,3,1
5,2,3,1,1
5,3,1,1,1
5,4,2,1,1
5,5,2,2,1
5,6,2,0,0
5,7,1,0,0
5,8,3,1,1
5,9,1,1,1
5,10,2,0,0
5,11,1,2,1
5,12,2,2,1
5,13,2,2,1
5,14,2,0,0
5,15,1,1,1
5,16,1,0,0
5,17,3,0,0
5,18,1,2,1
5,19,1,0,0
5,20,1,1,1
5,21,1,0,0
5,22,1,1,1
5,23,4,1,1
5,24,2,2,1
5,25,2,2,1
5,26,2,2,1
5,27,2,2,1
5,28,1,0,0
5,29,2,1,1
5,30,1,0,0
5,31,1,1,1
5,32,3,0,0
5,33,2,2,1
5,34,1,0,0
5,35,3,0,0
5,36,2,1,1
5,37,3,0,0
5,38,2,1,1
5,39,2,0,0
5,40,2,2,1
5,41,2,1,1
5,42,1,1,1
5,43,1,0,0
5,44,2,1,1
5,45,1,1,1
5,46,2,0,0
5,47,2,2,1
5,48,2,1,1
5,49,2,1,1
5,50,1,3,1
5,51,2,0,0
5,52,1,0,0
5,53,2,1,1
5,54,2,1,1
5,55,2,1,1
5,56,2,0,0
5,57,2,1,1
5,58,1,1,1
5,59,1,1,1
5,60,1,0,0
5,61,1,0,0
5,62,1,1,1
5,63,1,3,1
5,64,1,1,1
5,65,1,1,1
5,66,2,1,1
5,67,2,1,1
5,68,1,1,1
5,69,1,0,0
5,70,1,0,0
5,71,1,1,1
5,72,1,1,1
5,73,3,0,0
5,74,3,0,0
5,75,1,0,0
5,76,2,1,1
5,77,1,1,1
5,78,2,2,1
5,79,2,1,1
5,80,1,1,1
5,81,2,0,0
5,82,1,1,1
5,83,2,1,1
5,84,1,1,1
5,85,2,0,0
5,86,3,3,1
5,87,1,1,1
5,88,2,3,1
5,89,2,2,1
5,90,1,1,1
5,91,2,2,1
5,92,3,0,0
5,93,2,1,1
5,94,1,2,1
5,95,1,0,0
5,96,1,1,1
5,97,1,1,1
5,98,1,1,1
5,99,4,1,1
5,100,1,3,1
5,101,1,1,1
5,102,2,1,1
5,103,2,1,1
5,104,1,1,1
5,105,4,0,0
5,106,1,0,0
5,107,2,1,1
5,108,1,0,0
5,109,1,2,1
5,110,1,1,1
5,111,2,1,1
5,112,1,0,0
5,113,1,1,1
5,114,6,0,0
5,115,1,0,0
5,116,1,0,0
5,117,2,2,1
5,118,2,0,0
5,119,1,1,1
