m,system,budget,nodes,solved,exhausted,solution_verified,elimination_holds,seconds
6,0,300000,21,1,0,1,1,0.0001176249934360385
6,1,300000,21,1,0,1,1,0.00010912498692050576
6,2,300000,31,1,0,1,1,0.00016020899056456983
6,3,300000,4,1,0,1,1,1.4833989553153515e-05
6,4,300000,20,1,0,1,1,0.00010525001562200487
7,0,300000,14,1,0,1,1,0.00010366700007580221
7,1,300000,79,1,0,1,1,0.0004884579975623637
7,2,300000,97,1,0,1,1,0.0006260419904720038
7,3,300000,41,1,0,1,1,0.00028462501359172165
7,4,300000,62,1,0,1,1,0.0004969580040778965
8,0,300000,220,1,0,1,1,0.001931042002979666
8,1,300000,276,1,0,1,1,0.0022367089986801147
8,2,300000,205,1,0,1,1,0.0015786660078447312
8,3,300000,46,1,0,1,1,0.0004022920038551092
8,4,300000,25,1,0,1,1,0.0001805420033633709
9,0,300000,781,1,0,1,1,0.007488041999749839
9,1,300000,709,1,0,1,1,0.006495500012533739
9,2,300000,9,1,0,1,1,5.949998740106821e-05
9,3,300000,250,1,0,1,1,0.002367708017118275
9,4,300000,274,1,0,1,1,0.0026811669813469052
10,0,300000,143,1,0,1,1,0.0017295840079896152
10,1,300000,872,1,0,1,1,0.009840457991231233
10,2,300000,4358,1,0,1,1,0.04836766701191664
10,3,300000,9,1,0,1,1,7.879201439209282e-05
10,4,300000,2541,1,0,1,1,0.029125583998393267
11,0,300000,11741,1,0,1,1,0.1536567920120433
11,1,300000,5411,1,0,1,1,0.06575575002352707
11,2,300000,2231,1,0,1,1,0.02750825000111945
11,3,300000,6087,1,0,1,1,0.07763466701726429
11,4,300000,7309,1,0,1,1,0.09498929101391695
12,0,300000,24898,1,0,1,1,0.37162554200040177
12,1,300000,19793,1,0,1,1,0.28286595799727365
12,2,300000,6196,1,0,1,1,0.09287716701510362
12,3,300000,10222,1,0,1,1,0.14092508400790393
12,4,300000,37460,1,0,1,1,0.5211218329786789
13,0,300000,51093,1,0,1,1,0.8391886659956072
13,1,300000,253160,1,0,1,1,3.8759912500099745
13,2,300000,69558,1,0,1,1,1.0865091249870602
13,3,300000,157089,1,0,1,1,2.5907498340238817
13,4,300000,180223,1,0,1,1,2.735051666997606
