m,trial,backward_children
5,0,1
5,1,4
5,2,3
5,3,2
5,4,2
5,5,2
5,6,1
5,7,3
5,8,6
5,9,2
5,10,3
5,11,1
5,12,2
5,13,2
5,14,1
5,15,3
5,16,2
5,17,3
5,18,3
5,19,3
5,20,4
5,21,0
5,22,3
5,23,4
5,24,3
5,25,2
5,26,1
5,27,1
5,28,2
5,29,4
5,30,6
5,31,6
5,32,3
5,33,4
5,34,4
5,35,4
5,36,2
5,37,2
5,38,2
5,39,1
5,40,6
5,41,2
5,42,3
5,43,1
5,44,2
5,45,4
5,46,7
5,47,0
5,48,1
5,49,2
5,50,1
5,51,2
5,52,4
5,53,0
5,54,2
5,55,8
5,56,4
5,57,2
5,58,4
5,59,2
5,60,1
5,61,0
5,62,0
5,63,2
5,64,1
5,65,2
5,66,3
5,67,2
5,68,3
5,69,1
5,70,2
5,71,0
5,72,2
5,73,3
5,74,2
5,75,2
5,76,4
5,77,0
5,78,2
5,79,3
5,80,1
5,81,2
5,82,0
5,83,3
5,84,2
5,85,1
5,86,5
5,87,1
5,88,2
5,89,1
5,90,0
5,91,3
5,92,0
5,93,4
5,94,3
5,95,3
5,96,0
5,97,2
5,98,1
5,99,1
5,100,2
5,101,0
5,102,1
5,103,2
5,104,3
5,105,4
5,106,2
5,107,1
5,108,2
5,109,2
5,110,1
5,111,1
5,112,2
5,113,0
5,114,4
5,115,3
5,116,0
5,117,1
5,118,2
5,119,2
5,120,3
5,121,3
5,122,1
5,123,3
5,124,3
5,125,4
5,126,0
5,127,1
5,128,3
5,129,1
5,130,2
5,131,0
5,132,0
5,133,1
5,134,1
5,135,2
5,136,7
5,137,4
5,138,1
5,139,3
5,140,2
5,141,1
5,142,7
5,143,2
5,144,1
5,145,0
5,146,2
5,147,4
5,148,1
5,149,4
5,150,2
5,151,1
5,152,3
5,153,1
5,154,4
5,155,2
5,156,0
5,157,3
5,158,0
5,159,1
5,160,3
5,161,3
5,162,2
5,163,3
5,164,2
5,165,0
5,166,1
5,167,2
5,168,2
5,169,2
5,170,3
5,171,2
5,172,3
5,173,3
5,174,2
5,175,3
5,176,1
5,177,1
5,178,2
5,179,2
5,180,2
5,181,3
5,182,3
5,183,3
5,184,2
5,185,5
5,186,4
5,187,4
5,188,2
5,189,1
5,190,0
5,191,1
5,192,1
5,193,3
5,194,3
5,195,1
5,196,4
5,197,0
5,198,1
5,199,1
