n,m,seed,sample,input_hamming_weight,u_fixed_points,v_fixed_points,uv_fixed_points,u_order,v_order,uv_order,u_cycle_type,v_cycle_type,uv_cycle_type
8,6,601,0,1,1,0,2,5,4,2,1-5,2-4,1-1-2-2
8,6,601,1,4,0,3,0,4,3,3,2-4,1-1-1-3,3-3
8,6,601,2,4,1,0,0,5,3,4,1-5,3-3,2-4
8,6,601,3,3,1,3,0,5,3,3,1-5,1-1-1-3,3-3
8,6,601,4,5,3,0,0,3,4,3,1-1-1-3,2-4,3-3
8,6,601,5,5,2,1,1,2,5,5,1-1-2-2,1-5,1-5
8,6,601,6,4,1,0,1,5,3,5,1-5,3-3,1-5
8,6,601,7,3,1,3,1,5,3,5,1-5,1-1-1-3,1-5
8,6,601,8,7,1,0,3,5,4,3,1-5,2-4,1-1-1-3
8,6,601,9,6,1,2,0,5,2,4,1-5,1-1-2-2,2-4
8,6,601,10,6,0,0,3,4,3,3,2-4,3-3,1-1-1-3
8,6,601,11,4,1,0,1,5,3,5,1-5,3-3,1-5
8,6,601,12,2,3,2,3,3,2,3,1-1-1-3,1-1-2-2,1-1-1-3
8,6,601,13,4,1,3,0,5,3,4,1-5,1-1-1-3,2-4
8,6,601,14,2,1,0,1,5,4,5,1-5,2-4,1-5
8,6,601,15,3,0,3,1,4,3,5,2-4,1-1-1-3,1-5
8,6,601,16,8,1,1,1,5,5,5,1-5,1-5,1-5
8,6,601,17,2,1,0,1,5,3,5,1-5,3-3,1-5
8,6,601,18,6,2,0,1,2,4,5,1-1-2-2,2-4,1-5
8,6,601,19,2,1,0,3,5,4,3,1-5,2-4,1-1-1-3
8,6,601,20,3,0,1,0,4,5,4,2-4,1-5,2-4
8,6,601,21,5,3,0,0,3,4,3,1-1-1-3,2-4,3-3
8,6,601,22,4,3,2,3,3,2,3,1-1-1-3,1-1-2-2,1-1-1-3
8,6,601,23,3,0,1,0,3,5,4,3-3,1-5,2-4
8,6,601,24,6,1,3,1,5,3,5,1-5,1-1-1-3,1-5
8,6,601,25,4,1,0,0,5,4,3,1-5,2-4,3-3
8,6,601,26,4,0,1,0,4,5,4,2-4,1-5,2-4
8,6,601,27,2,0,0,1,4,4,5,2-4,2-4,1-5
8,6,601,28,7,0,1,1,3,5,5,3-3,1-5,1-5
8,6,601,29,5,1,1,1,5,5,5,1-5,1-5,1-5
8,6,601,30,4,1,1,0,5,5,4,1-5,1-5,2-4
8,6,601,31,4,1,0,1,5,4,5,1-5,2-4,1-5
8,6,601,32,3,1,0,0,5,3,4,1-5,3-3,2-4
8,6,601,33,3,0,0,2,3,4,2,3-3,2-4,1-1-2-2
8,6,601,34,3,0,3,0,4,3,4,2-4,1-1-1-3,2-4
8,6,601,35,6,0,0,0,4,3,4,2-4,3-3,2-4
8,6,601,36,2,2,1,1,2,5,5,1-1-2-2,1-5,1-5
8,6,601,37,4,2,1,3,2,5,3,1-1-2-2,1-5,1-1-1-3
8,6,601,38,2,1,3,0,5,3,4,1-5,1-1-1-3,2-4
8,6,601,39,5,0,0,1,3,3,5,3-3,3-3,1-5
8,6,601,40,4,3,0,0,3,3,4,1-1-1-3,3-3,2-4
8,6,601,41,5,0,2,1,3,2,5,3-3,1-1-2-2,1-5
8,6,601,42,3,1,1,0,5,5,4,1-5,1-5,2-4
8,6,601,43,4,1,2,1,5,2,5,1-5,1-1-2-2,1-5
8,6,601,44,4,1,0,1,5,3,5,1-5,3-3,1-5
8,6,601,45,3,1,0,0,5,4,4,1-5,2-4,2-4
8,6,601,46,3,0,1,0,4,5,4,2-4,1-5,2-4
8,6,601,47,5,0,0,1,3,3,5,3-3,3-3,1-5
8,6,601,48,6,0,0,2,3,4,2,3-3,2-4,1-1-2-2
8,6,601,49,5,1,0,3,5,3,3,1-5,3-3,1-1-1-3
8,6,601,50,4,0,0,1,4,4,5,2-4,2-4,1-5
8,6,601,51,5,1,0,1,5,4,5,1-5,2-4,1-5
8,6,601,52,7,0,0,6,4,4,1,2-4,2-4,1-1-1-1-1-1
8,6,601,53,2,3,0,2,3,4,2,1-1-1-3,2-4,1-1-2-2
8,6,601,54,3,1,0,0,5,3,4,1-5,3-3,2-4
8,6,601,55,2,1,2,2,5,2,2,1-5,1-1-2-2,1-1-2-2
8,6,601,56,6,1,0,1,5,4,5,1-5,2-4,1-5
8,6,601,57,5,0,0,1,3,3,5,3-3,3-3,1-5
8,6,601,58,4,0,0,0,3,4,4,3-3,2-4,2-4
8,6,601,59,2,1,1,1,5,5,5,1-5,1-5,1-5
8,6,601,60,7,3,0,0,3,3,4,1-1-1-3,3-3,2-4
8,6,601,61,6,0,2,2,4,2,2,2-4,1-1-2-2,1-1-2-2
8,6,601,62,3,1,0,0,5,4,4,1-5,2-4,2-4
8,6,601,63,3,0,0,2,3,4,2,3-3,2-4,1-1-2-2
8,6,602,0,4,1,0,3,5,3,3,1-5,3-3,1-1-1-3
8,6,602,1,5,0,1,0,4,5,3,2-4,1-5,3-3
8,6,602,2,4,1,2,2,5,2,2,1-5,1-1-2-2,1-1-2-2
8,6,602,3,2,0,0,3,3,4,3,3-3,2-4,1-1-1-3
8,6,602,4,1,1,1,0,5,5,4,1-5,1-5,2-4
8,6,602,5,4,2,3,0,2,3,4,1-1-2-2,1-1-1-3,2-4
8,6,602,6,4,2,2,3,2,2,3,1-1-2-2,1-1-2-2,1-1-1-3
8,6,602,7,5,1,2,1,5,2,5,1-5,1-1-2-2,1-5
8,6,602,8,1,1,1,0,5,5,4,1-5,1-5,2-4
8,6,602,9,3,0,3,0,3,3,4,3-3,1-1-1-3,2-4
8,6,602,10,6,3,2,3,3,2,3,1-1-1-3,1-1-2-2,1-1-1-3
8,6,602,11,5,0,3,1,3,3,5,3-3,1-1-1-3,1-5
8,6,602,12,4,0,3,1,3,3,5,3-3,1-1-1-3,1-5
8,6,602,13,7,6,2,2,1,2,2,1-1-1-1-1-1,1-1-2-2,1-1-2-2
8,6,602,14,5,0,0,2,4,3,2,2-4,3-3,1-1-2-2
8,6,602,15,2,0,0,2,4,4,2,2-4,2-4,1-1-2-2
8,6,602,16,3,0,1,3,3,5,3,3-3,1-5,1-1-1-3
8,6,602,17,1,1,1,0,5,5,4,1-5,1-5,2-4
8,6,602,18,4,2,2,3,2,2,3,1-1-2-2,1-1-2-2,1-1-1-3
8,6,602,19,6,1,2,0,5,2,4,1-5,1-1-2-2,2-4
8,6,602,20,5,1,1,1,5,5,5,1-5,1-5,1-5
8,6,602,21,5,1,0,2,5,4,2,1-5,2-4,1-1-2-2
8,6,602,22,5,2,1,1,2,5,5,1-1-2-2,1-5,1-5
8,6,602,23,3,1,1,1,5,5,5,1-5,1-5,1-5
8,6,602,24,5,2,0,0,2,4,4,1-1-2-2,2-4,2-4
8,6,602,25,5,1,0,0,5,4,4,1-5,2-4,2-4
8,6,602,26,1,3,0,0,3,3,4,1-1-1-3,3-3,2-4
8,6,602,27,3,3,1,0,3,5,3,1-1-1-3,1-5,3-3
8,6,602,28,5,0,0,0,4,4,4,2-4,2-4,2-4
8,6,602,29,7,1,1,0,5,5,3,1-5,1-5,3-3
8,6,602,30,4,1,0,1,5,4,5,1-5,2-4,1-5
8,6,602,31,5,1,2,3,5,2,3,1-5,1-1-2-2,1-1-1-3
8,6,602,32,5,1,0,0,5,4,3,1-5,2-4,3-3
8,6,602,33,1,1,0,1,5,4,5,1-5,2-4,1-5
8,6,602,34,4,0,2,2,4,2,2,2-4,1-1-2-2,1-1-2-2
8,6,602,35,5,2,0,1,2,3,5,1-1-2-2,3-3,1-5
8,6,602,36,4,0,0,2,3,4,2,3-3,2-4,1-1-2-2
8,6,602,37,5,0,1,0,4,5,3,2-4,1-5,3-3
8,6,602,38,2,3,0,0,3,4,3,1-1-1-3,2-4,3-3
8,6,602,39,4,3,1,2,3,5,2,1-1-1-3,1-5,1-1-2-2
8,6,602,40,3,1,1,2,5,5,2,1-5,1-5,1-1-2-2
8,6,602,41,5,0,0,0,4,4,3,2-4,2-4,3-3
8,6,602,42,6,0,0,1,3,3,5,3-3,3-3,1-5
8,6,602,43,5,0,0,1,3,4,5,3-3,2-4,1-5
8,6,602,44,3,0,0,1,4,4,5,2-4,2-4,1-5
8,6,602,45,4,1,2,0,5,2,3,1-5,1-1-2-2,3-3
8,6,602,46,5,1,0,0,5,4,4,1-5,2-4,2-4
8,6,602,47,3,1,1,0,5,5,3,1-5,1-5,3-3
8,6,602,48,3,3,1,2,3,5,2,1-1-1-3,1-5,1-1-2-2
8,6,602,49,3,1,1,1,5,5,5,1-5,1-5,1-5
8,6,602,50,5,1,0,1,5,4,5,1-5,2-4,1-5
8,6,602,51,3,1,2,0,5,2,3,1-5,1-1-2-2,3-3
8,6,602,52,6,0,1,0,4,5,3,2-4,1-5,3-3
8,6,602,53,5,1,2,3,5,2,3,1-5,1-1-2-2,1-1-1-3
8,6,602,54,3,0,3,0,3,3,4,3-3,1-1-1-3,2-4
8,6,602,55,4,1,2,0,5,2,3,1-5,1-1-2-2,3-3
8,6,602,56,5,0,0,0,3,4,4,3-3,2-4,2-4
8,6,602,57,3,1,1,3,5,5,3,1-5,1-5,1-1-1-3
8,6,602,58,3,1,1,3,5,5,3,1-5,1-5,1-1-1-3
8,6,602,59,3,0,0,1,4,3,5,2-4,3-3,1-5
8,6,602,60,4,2,0,3,2,4,3,1-1-2-2,2-4,1-1-1-3
8,6,602,61,3,1,1,1,5,5,5,1-5,1-5,1-5
8,6,602,62,4,2,2,3,2,2,3,1-1-2-2,1-1-2-2,1-1-1-3
8,6,602,63,5,2,0,0,2,4,4,1-1-2-2,2-4,2-4
8,6,603,0,3,0,0,0,4,3,4,2-4,3-3,2-4
8,6,603,1,5,0,1,2,3,5,2,3-3,1-5,1-1-2-2
8,6,603,2,5,1,0,0,5,3,4,1-5,3-3,2-4
8,6,603,3,3,1,0,3,5,4,3,1-5,2-4,1-1-1-3
8,6,603,4,5,1,1,0,5,5,4,1-5,1-5,2-4
8,6,603,5,5,0,0,3,4,4,3,2-4,2-4,1-1-1-3
8,6,603,6,5,1,1,0,5,5,4,1-5,1-5,2-4
8,6,603,7,4,0,1,0,3,5,4,3-3,1-5,2-4
8,6,603,8,3,0,2,0,4,2,4,2-4,1-1-2-2,2-4
8,6,603,9,4,1,0,1,5,4,5,1-5,2-4,1-5
8,6,603,10,5,2,0,3,2,4,3,1-1-2-2,2-4,1-1-1-3
8,6,603,11,3,0,1,1,3,5,5,3-3,1-5,1-5
8,6,603,12,3,2,1,1,2,5,5,1-1-2-2,1-5,1-5
8,6,603,13,6,0,2,0,3,2,3,3-3,1-1-2-2,3-3
8,6,603,14,3,2,2,0,2,2,4,1-1-2-2,1-1-2-2,2-4
8,6,603,15,3,6,2,2,1,2,2,1-1-1-1-1-1,1-1-2-2,1-1-2-2
8,6,603,16,7,3,2,1,3,2,5,1-1-1-3,1-1-2-2,1-5
8,6,603,17,1,2,2,1,2,2,5,1-1-2-2,1-1-2-2,1-5
8,6,603,18,4,3,3,1,3,3,5,1-1-1-3,1-1-1-3,1-5
8,6,603,19,6,0,1,0,4,5,3,2-4,1-5,3-3
8,6,603,20,3,2,2,0,2,2,4,1-1-2-2,1-1-2-2,2-4
8,6,603,21,3,1,2,1,5,2,5,1-5,1-1-2-2,1-5
8,6,603,22,4,0,1,2,4,5,2,2-4,1-5,1-1-2-2
8,6,603,23,5,1,0,0,5,3,4,1-5,3-3,2-4
8,6,603,24,5,1,2,2,5,2,2,1-5,1-1-2-2,1-1-2-2
8,6,603,25,4,0,0,1,4,4,5,2-4,2-4,1-5
8,6,603,26,1,3,1,0,3,5,4,1-1-1-3,1-5,2-4
8,6,603,27,1,3,0,0,3,3,4,1-1-1-3,3-3,2-4
8,6,603,28,3,1,0,0,5,3,4,1-5,3-3,2-4
8,6,603,29,2,1,0,1,5,4,5,1-5,2-4,1-5
8,6,603,30,4,1,2,1,5,2,5,1-5,1-1-2-2,1-5
