n,m,seed,secret_value_lsb_encoding,evaluations,fraction_of_space_scanned,elapsed_seconds,target_preimage_found,recovered_original_secret
8,8,401,96,97,0.37890625,0.002529201,True,True
8,8,402,83,84,0.328125,0.002088051,True,True
8,8,403,4,5,0.01953125,0.000124663,True,True
10,8,401,386,387,0.377929688,0.013292851,True,True
10,8,402,333,334,0.326171875,0.010788375,True,True
10,8,403,16,17,0.016601562,0.000515941,True,True
12,8,401,1545,1546,0.377441406,0.061732571,True,True
12,8,402,1333,1334,0.325683594,0.060138639,True,True
12,8,403,64,65,0.015869141,0.002502752,True,True
14,8,401,6181,6182,0.377319336,0.290569481,True,True
14,8,402,5333,5334,0.325561523,0.240120297,True,True
14,8,403,258,259,0.015808105,0.011592672,True,True
16,8,401,24724,24725,0.37727356,1.307921645,True,True
16,8,402,21333,21334,0.325531006,1.13166061,True,True
16,8,403,1032,1033,0.015762329,0.052581939,True,True
